,gene,score,logFC,pval,pval_adj,cluster
83,LMO2,18.9618,,3.52856653379004e-80,1.9938476543286545e-78,0
84,LGALS2,18.881477,,1.6199215465686548e-79,9.047073474615405e-78,0
85,PPT1,18.872963,,1.9032212847927585e-79,1.0507094058459333e-77,0
86,ANXA1,18.824343,,4.7708721883474193e-79,2.603920354617347e-77,0
87,RHOB,18.755,,1.762226773378691e-78,9.510084485997587e-77,0
88,KLF6,18.736626,,2.4891937381953184e-78,1.3283997249502348e-76,0
89,ALDH2,18.61575,,2.394880303915722e-77,1.2640230878799135e-75,0
90,MEGF9,18.55503,,7.426546783114598e-77,3.877141760793414e-75,0
91,PTPRE,18.45163,,5.059628877504624e-76,2.585255053048373e-74,0
92,RTN3,18.439531,,6.328838722110876e-76,3.1997276191893202e-74,0
93,NUP214,18.420486,,8.9992031190262e-76,4.502413810487796e-74,0
94,SPI1,18.3312,,4.6649540400346075e-75,2.309873634462497e-73,0
95,RAB31,18.136497,,1.6416570471033996e-73,8.045794691058804e-72,0
96,CD33,18.088438,,3.930714264281339e-73,1.906991980943765e-71,0
97,RBP7,18.036345,,1.0100690836339185e-72,4.851361808693711e-71,0
98,FCGR2A,18.001505,,1.8959631943064852e-72,9.016149725004007e-71,0
99,RXRA,17.923983,,7.664017865106148e-72,3.608850765304395e-70,0
100,NCOA4,17.904825,,1.0813317705768578e-71,5.042365528233638e-70,0
101,GLUL,17.716732,,3.114884201775286e-70,1.4385373866467978e-68,0
102,IGSF6,17.565384,,4.536151803097119e-69,2.0749654390738535e-67,0
103,ATP2B1-AS1,17.543203,,6.704053629600698e-69,3.0376952436766176e-67,0
104,TNFRSF1B,17.539394,,7.168822920133905e-69,3.2179305126544997e-67,0
105,CTSH,17.490326,,1.6978384070330277e-68,7.55066469349966e-67,0
106,ANXA2,17.314108,,3.6818783260993286e-67,1.6223909725004658e-65,0
107,DPYSL2,17.248907,,1.14034989591912e-66,4.979182318272303e-65,0
108,CPPED1,17.218548,,1.927626126917143e-66,8.340890349173908e-65,0
109,PECAM1,17.184605,,3.46302617803686e-66,1.4850816725991998e-64,0
110,MYADM,17.179787,,3.7629029077430355e-66,1.5994002359194514e-64,0
111,MGST1,17.089045,,1.7908222064609733e-65,7.5450167172211e-64,0
112,BST1,17.08042,,2.0762234223376213e-65,8.671392258684865e-64,0
113,SCPEP1,17.033815,,4.6097841410852065e-65,1.9086890715200213e-63,0
114,AGTRAP,16.946882,,2.0293160135313264e-64,8.330602404265777e-63,0
115,STX11,16.902296,,4.3272293243259204e-64,1.761329020740457e-62,0
116,PLAUR,16.858717,,9.053200944310762e-64,3.623543677960383e-62,0
117,OGFRL1,16.83127,,1.4397786785205927e-63,5.7150884239127334e-62,0
118,ITGAM,16.810434,,2.046673934174196e-63,8.057520414621857e-62,0
119,IRAK3,16.722157,,9.038806286911803e-63,3.529543625694097e-61,0
120,LRRK2,16.673426,,2.0453160499921936e-62,7.922300796864924e-61,0
121,TREM1,16.480963,,5.027789438476768e-61,1.9318778138403135e-59,0
122,DMXL2,16.433016,,1.110000008170436e-60,4.23121431685921e-59,0
123,NRGN,16.415764,,1.4751488540994918e-60,5.578850351369968e-59,0
124,LYST,16.41442,,1.5081856919973205e-60,5.65923115520557e-59,0
125,RASSF2,16.368599,,3.205042828863511e-60,1.184140054387034e-58,0
126,NFKBIA,16.358742,,3.768370542066271e-60,1.3816399781331527e-58,0
127,CD300E,16.338017,,5.294778375842539e-60,1.9265773135736148e-58,0
128,AHNAK,16.310793,,8.271108206788058e-60,2.9869272719701538e-58,0
129,LILRB2,16.22991,,3.099127319457319e-59,1.1026006307669262e-57,0
130,GAS7,16.22991,,3.099127319457319e-59,1.1026006307669262e-57,0
131,PRAM1,16.18129,,6.834682136197355e-59,2.4137484044232278e-57,0
132,CDC42EP3,16.16527,,8.864785360501784e-59,3.1078513931744577e-57,0
