,gene,score,logFC,pval,pval_adj,cluster
1596,AL353747.4,0.17991534,,0.8572190277011582,0.9990735922946381,0
1597,AQP4-AS1,0.1793552,,0.8576587977408999,0.9990735922946381,0
1598,TSPAN2,0.17901912,,0.8579226809810793,0.9990735922946381,0
1599,OSBP2,0.17812291,-0.64928126,0.8586264471640366,0.9990735922946381,0
1600,PDZK1IP1,0.17700264,,0.8595063128289139,0.9990735922946381,0
1601,APOOL,0.17677858,,0.859682306934501,0.9990735922946381,0
1602,IGFL2,0.17588237,,0.8603863529802802,0.9990735922946381,0
1603,MCM3AP-AS1,0.17565832,,0.8605623818547775,0.9990735922946381,0
1604,SLC25A29,0.17375386,,0.8620589061451767,0.9990735922946381,0
1605,SEPTIN8,0.17207345,,0.8633797802412279,0.9990735922946381,0
1606,RFX7,0.17162535,,0.8637320779968172,0.9990735922946381,0
1607,ARMCX6,0.17117724,-0.9912393,0.8640844028475002,0.9990735922946381,0
1608,L3MBTL4,0.17050508,,0.8646129407766086,0.9990735922946381,0
1609,MRPL35,0.17028102,,0.864789133559457,0.9990735922946381,0
1610,BMP3,0.170169,,0.8648772324722656,0.9990735922946381,0
1611,ETAA1,0.16949683,,0.8654058611808566,0.9990735922946381,0
1612,MED19,0.16916075,,0.8656701981358039,0.9990735922946381,0
1613,Z92544.2,0.16792846,,0.8666395619932843,0.9990735922946381,0
1614,MUC6,0.16781643,,0.8667276959498594,0.9990735922946381,0
1615,DDX43,0.16759238,,0.8669039688327285,0.9990735922946381,0
1616,ZNF775,0.16736832,,0.8670802483347224,0.9990735922946381,0
1617,PRSS23,0.16714427,,0.8672565344472404,0.9990735922946381,0
1618,AC009227.1,0.16591197,,0.8682262258447517,0.9990735922946381,0
1619,IFIT1,0.16546386,,0.8685788901331466,0.9990735922946381,0
1620,MEG3,0.16535184,,0.8686670602937955,0.9990735922946381,0
1621,CSTF3,0.16523981,,0.8687552320877119,0.9990735922946381,0
1622,KLF5,0.16490373,,0.869019757258303,0.9990735922946381,0
1623,MTND4P12,0.16490373,,0.869019757258303,0.9990735922946381,0
1624,HAVCR1,0.16400751,,0.8697252293085806,0.9990735922946381,0
1625,MLC1,0.16333535,2.4955232,0.8702544014310369,0.9990735922946381,0
1626,AL590608.1,0.1631113,,0.8704308050610888,0.9990735922946381,0
1627,AC022001.2,0.16266319,,0.8707836316533267,0.9990735922946381,0
1628,AC104758.5,0.16221508,,0.871136483964268,0.9990735922946381,0
1629,SETP5,0.16221508,,0.871136483964268,0.9990735922946381,0
1630,C17orf75,0.16199103,,0.8713129197426958,0.9990735922946381,0
1631,TOPORS,0.16199103,,0.8713129197426958,0.9990735922946381,0
1632,ZNF529,0.16176698,,0.8714893619249294,0.9990735922946381,0
1633,AL445363.1,0.15975049,,0.8730776283128046,0.9990735922946381,0
1634,PCMTD2,0.15863022,,0.8739602200439059,0.9990735922946381,0
1635,HEXA-AS1,0.15762198,,0.8747546867463638,0.9990735922946381,0
1636,AC019131.2,0.15650171,,0.8756375755843484,0.9990735922946381,0
1637,AP005230.1,0.15650171,,0.8756375755843484,0.9990735922946381,0
1638,AC106818.2,0.15638968,,0.8757258730002743,0.9990735922946381,0
1639,RN7SL200P,0.15582955,,0.8761673832628661,0.9990735922946381,0
1640,CD180,0.1556055,,0.8763439981664365,0.9990735922946381,0
1641,CELSR3,0.15448523,,0.8772271648754499,0.9990735922946381,0
1642,TSPEAR-AS2,0.15448523,,0.8772271648754499,0.9990735922946381,0
1643,IP6K1,0.1543732,,0.8773154899714268,0.9990735922946381,0
1644,DDTL,0.15403712,,0.8775804744200545,0.9990735922946381,0
1645,AL132639.2,0.15258075,4.3101716,0.8787288985116662,0.9990735922946381,0
1646,GDPD5,0.15190859,,0.8792590266245781,0.9990735922946381,0
1647,ATP5MFP4,0.15090035,,0.8800543202195266,0.9990735922946381,0
1648,RND1,0.149444,,0.8812032910600811,0.9990735922946381,0
1649,A4GALT,0.14585914,1.0303421,0.8840325875106781,0.9990735922946381,0
1650,CASC1,0.14585914,1.1137819,0.8840325875106781,0.9990735922946381,0
1651,SLC35G1,0.14552306,,0.8842979104719831,0.9990735922946381,0
1652,AC132008.2,0.14384265,,0.8856247193408332,0.9990735922946381,0
1653,SBNO1-AS1,0.1436186,,0.8858016515043149,0.9990735922946381,0
1654,AC147067.1,0.14317049,,0.8861555329029925,0.9990735922946381,0
1655,SPECC1L,0.14227428,,0.8868633637435919,0.9990735922946381,0
1656,CEP162,0.14104198,,0.8878367784136498,0.9990735922946381,0
1657,ENKUR,0.14048184,,0.8882792956481552,0.9990735922946381,0
1658,AC068491.4,0.13768117,,0.8904924014354905,0.9990735922946381,0
1659,GDPD3,0.13768117,,0.8904924014354905,0.9990735922946381,0
1660,AC010197.2,0.13678496,,0.8912007763701549,0.9990735922946381,0
1661,VTRNA1-3,0.13633685,,0.8915549964389566,0.9990735922946381,0
1662,MEIS1,0.13510455,,0.8925292130058574,0.9990735922946381,0
1663,AC079174.2,0.13465644,,0.8928835138693254,0.9990735922946381,0
1664,CDCA3,0.1336482,,0.8936807688740531,0.9990735922946381,0
1665,MFSD2B,0.13353617,,0.8937693594099538,0.9990735922946381,0
1666,BMPER,0.13297604,,0.8942123319470239,0.9990735922946381,0
1667,YIPF2,0.13263996,3.1200278,0.8944781313160013,0.9990735922946381,0
1668,BATF3,0.13207982,,0.8949211565808547,0.9990735922946381,0
1669,AC109587.1,0.1319678,,0.8950097655714767,0.9990735922946381,0
1670,SCAT1,0.13163172,,0.8952756003989776,0.9990735922946381,0
1671,AP002812.2,0.13129564,,0.8955414469869825,0.9990735922946381,0
1672,AL132656.2,0.13107158,,0.8957186845646938,0.9990735922946381,0
1673,SSBP3-AS1,0.13107158,,0.8957186845646938,0.9990735922946381,0
1674,GDF9,0.13095956,,0.895807305305983,0.9990735922946381,0
1675,AC120193.1,0.12972726,0.54528755,0.8967822190305228,0.9990735922946381,0
1676,AL023806.4,0.12972726,0.3922485,0.8967822190305228,0.9990735922946381,0
1677,EPN2-AS1,0.12972726,0.83531016,0.8967822190305228,0.9990735922946381,0
1678,B4GALT6,0.12972726,,0.8967822190305228,0.9990735922946381,0
1679,AC009141.1,0.12927915,,0.897136771832843,0.9990735922946381,0
1680,C20orf197,0.12860699,,0.8976686395273161,0.9990735922946381,0
1681,PCAT1,0.12860699,,0.8976686395273161,0.9990735922946381,0
1682,AC023050.5,0.12771077,,0.8983778679355346,0.9990735922946381,0
1683,ABCD3,0.12759875,,0.8984665272060506,0.9990735922946381,0
1684,PAPOLG,0.12681456,,0.8990871775241406,0.9990735922946381,0
1685,PMP22,0.12636645,,0.8994418625859425,0.9990735922946381,0
1686,LINGO3,0.12636645,,0.8994418625859425,0.9990735922946381,0
1687,RN7SL740P,0.12569429,,0.8999739278159242,0.9990735922946381,0
1688,Metazoa_SRP-12,0.12535821,,0.9002399773036203,0.9990735922946381,0
1689,MINK1,0.12524617,,0.9003286629585432,0.9990735922946381,0
1690,LINC01011,0.12502211,,0.9005060380003519,0.9990735922946381,0
1691,SHC4,0.12502211,,0.9005060380003519,0.9990735922946381,0
1692,ITGA2,0.12457401,,0.9008608029811439,0.9990735922946381,0
1693,AC093330.3,0.12457401,,0.9008608029811439,0.9990735922946381,0
1694,AL356481.3,0.12434996,,0.9010381929025952,0.9990735922946381,0
1695,CEP72,0.123789825,,0.9014816893098151,0.9990735922946381,0
1696,AL845472.2,0.1236778,-3.7864575,0.9015703922859636,0.9990735922946381,0
1697,LINC01570,0.1236778,-1.1587421,0.9015703922859636,0.9990735922946381,0
1698,AP000845.1,0.123005636,-0.8650807,0.9021026359137064,0.9990735922946381,0
1699,AC008105.1,0.123005636,,0.9021026359137064,0.9990735922946381,0
1700,IFT140,0.12278158,1.7987608,0.9022800602474422,0.9990735922946381,0
1701,AL512625.3,0.12255753,0.61550903,0.9024574894621356,0.9990735922946381,0
1702,UCN,0.12143726,1.1012286,0.9033447084428881,0.9990735922946381,0
1703,AC098820.1,0.121213205,1.9024086,0.9035221667590698,0.9990735922946381,0
1704,AC004687.3,0.12098915,1.9843085,0.9036996298947831,0.9990735922946381,0
1705,AMPH,0.12042902,,0.9041433087619103,0.9990735922946381,0
1706,CEP126,0.12020496,,0.904320788696853,0.9990735922946381,0
1707,WWOX,0.11897267,,0.9052970135465179,0.9990735922946381,0
1708,TPRN,0.11874861,,0.9054745243946382,0.9990735922946381,0
1709,CLECL1,0.11807644,,0.9060070852414579,0.9990735922946381,0
1710,RN7SL503P,0.11718023,,0.9067172320815696,0.9990735922946381,0
1711,TPTE2P5,0.11718023,,0.9067172320815696,0.9990735922946381,0
1712,LINC01560,0.116956174,,0.9068947804671167,0.9990735922946381,0
1713,GAS6-AS1,0.11628401,-0.2635354,0.9074274535043535,0.9990735922946381,0
1714,PROS1,0.115499824,0.65284324,0.908048957988052,0.9990735922946381,0
1715,ZNF789,0.1153878,,0.908137748947131,0.9990735922946381,0
1716,ZDHHC8,0.114043474,,0.909203329667489,0.9990735922946381,0
1717,AL137783.1,0.11303523,,0.9100026225286197,0.9990735922946381,0
1718,ZFAT,0.1124751,,0.9104467135328981,0.9990735922946381,0
1719,DDX55,0.11191496,,0.9108908325163378,0.9990735922946381,0
1720,AC092120.3,0.1095624,,0.9127564346736541,0.9990735922946381,0
1721,LRRC56,0.10933834,,0.9129341363123805,0.9990735922946381,0
1722,AC010247.2,0.10933834,0.15246086,0.9129341363123805,0.9990735922946381,0
1723,PPIAP65,0.10844213,,0.9136449863124696,0.9990735922946381,0
1724,SGO2,0.10754591,,0.9143559054016881,0.9990735922946381,0
1725,PRR33,0.10720983,-5.1049285,0.9146225177570062,0.9990735922946381,0
1726,VPS33B-DT,0.10698578,,0.9148002646660179,0.9990735922946381,0
1727,AC025031.5,0.10642564,,0.9152446505600279,0.9990735922946381,0
1728,CDC37L1-DT,0.10642564,,0.9152446505600279,0.9990735922946381,0
1729,CENPO,0.10608956,0.082985155,0.9155112948213403,0.9990735922946381,0
1730,AC123912.4,0.10608956,,0.9155112948213403,0.9990735922946381,0
1731,CTDSPL2,0.104521185,,0.9167557599336037,0.9990735922946381,0
1732,SNX29P2,0.103512935,,0.9175558811456003,0.9990735922946381,0
1733,ZKSCAN2-DT,0.10328888,,0.9177336972285668,0.9990735922946381,0
1734,CNTROB,0.102392666,,0.9184450026232962,0.9990735922946381,0
1735,MFAP3,0.10194456,,0.9188006798347216,0.9990735922946381,0
1736,COL27A1,0.1012724,,0.9193342260956661,0.9990735922946381,0
1737,SPSB1,0.10104834,,0.9195120829323198,0.9990735922946381,0
1738,ESRP2,0.10015213,,0.9202235504583031,0.9990735922946381,0
1739,UNC5CL,0.09992807,,0.9204014273404482,0.9990735922946381,0
1740,AL031432.5,0.09970402,,0.9205793082051735,0.9990735922946381,0
1741,CIITA,0.09903186,,0.9211129746064223,0.9990735922946381,0
1742,AMMECR1-IT1,0.097687535,2.9762156,0.9221804137449108,0.9990735922946381,0
1743,NT5C2,0.09723943,,0.9225362580385986,0.9990735922946381,0
1744,PPP1R16A,0.0942147,,0.9249386090457139,0.9990735922946381,0
1745,HIST1H3H,0.09343051,,0.92556155343579,0.9990735922946381,0
1746,NWD1,0.093318485,,0.9256505492263352,0.9990735922946381,0
1747,LINC00330,0.09320646,,0.9257395459472639,0.9990735922946381,0
1748,ICA1,0.09320646,,0.9257395459472639,0.9990735922946381,0
1749,AC007613.1,0.092534296,,0.9262735457488874,0.9990735922946381,0
1750,CCNA2,0.091862135,-0.7053222,0.9268075787652784,0.9990735922946381,0
1751,Metazoa_SRP-87,0.09040578,4.830701,0.9279647631060047,0.9990735922946381,0
1752,TNFRSF10A-AS1,0.0888374,,0.9292111319564965,0.9990735922946381,0
1753,SMPD2,0.08738105,,0.9303686300303811,0.9990735922946381,0
1754,LINC00486,0.087156996,,0.9305467197929458,0.9990735922946381,0
1755,AC092117.1,0.08670889,,0.9309029097424467,0.9990735922946381,0
1756,COL4A2,0.08626078,,0.9312591135319568,0.9990735922946381,0
1757,AC023509.3,0.086148754,,0.9313481666335166,0.9990735922946381,0
1758,AHSA2P,0.08547659,,0.931882503252589,0.9990735922946381,0
1759,MIR302CHG,0.085364565,,0.931971562347032,0.9990735922946381,0
1760,NBPF25P,0.085028484,-0.8392676,0.9322387447360521,0.9990735922946381,0
1761,TEF,0.083572134,,0.9333966229331362,0.9990735922946381,0
1762,RAP1GAP2,0.08346011,,0.9334856963553559,0.9990735922946381,0
1763,TAPT1-AS1,0.08312403,,0.9337529216145019,0.9990735922946381,0
1764,SERPINH1,0.08144362,,0.9350891592919202,0.9990735922946381,0
1765,Metazoa_SRP-34,0.081331596,4.7157774,0.9351782483478839,0.9990735922946381,0
1766,AL138921.1,0.08088349,,0.9355346126778699,0.9990735922946381,0
1767,AL035071.1,0.08021133,,0.9360691833690562,0.9990735922946381,0
1768,AL050341.2,0.07976322,,0.9364255798569686,0.9990735922946381,0
1769,AC010643.1,0.07819484,,0.9376730674155357,0.9990735922946381,0
1770,RAMP1,0.07763471,,0.9381186359239414,0.9990735922946381,0
1771,CKB,0.07741065,,0.9382968687604699,0.9990735922946381,0
1772,TMCC2,0.07707457,,0.9385642238087203,0.9990735922946381,0
1773,DNM3,0.076626465,,0.938920707974147,0.9990735922946381,0
1774,AC093323.2,0.07617835,,0.9392772043803542,0.9990735922946381,0
1775,COL9A1,0.07584227,,0.9395445846752111,0.9990735922946381,0
1776,NID2,0.07573024,,0.9396337129561755,0.9990735922946381,0
1777,RN7SL766P,0.07573024,,0.9396337129561755,0.9990735922946381,0
1778,FAM149A,0.07539416,,0.939901102331535,0.9990735922946381,0
1779,RN7SL339P,0.07539416,-0.76822275,0.939901102331535,0.9990735922946381,0
1780,SERPINE1,0.075282134,,0.9399902336304363,0.9990735922946381,0
1781,AC016877.1,0.07517011,2.4690912,0.9400793656810413,0.9990735922946381,0
1782,AC113410.5,0.07494605,,0.9402576320329132,0.9990735922946381,0
1783,MBLAC2,0.074722,,0.9404359013782521,0.9990735922946381,0
1784,AL139327.1,0.07460997,-0.027059415,0.9405250371706906,0.9990735922946381,0
1785,AOPEP,0.07393781,,0.9410598675320063,0.9990735922946381,0
1786,RN7SL505P,0.07292957,,0.9418621628377946,0.9990735922946381,0
1787,AC008591.1,0.071585245,,0.9429319815427539,0.9990735922946381,0
1788,AL109755.1,0.070464976,,0.9438235758600327,0.9990735922946381,0
1789,AL139260.1,0.07024092,,0.9440019032053241,0.9990735922946381,0
1790,HIGD1A,0.06990484,,0.9442693994826548,0.9990735922946381,0
1791,CDC14B,0.06923268,,0.9448044108608913,0.9990735922946381,0
1792,TTTY14,0.06923268,,0.9448044108608913,0.9990735922946381,0
1793,ZNF483,0.069008626,,0.9449827535316587,0.9990735922946381,0
1794,AP000692.2,0.06844849,-1.7660198,0.9454286222531242,0.9990735922946381,0
1795,BLZF1,0.067216195,,0.9464095934190703,0.9990735922946381,0
1796,INO80B,0.06699214,,0.946587960586477,0.9990735922946381,0
1797,AL158801.1,0.06564782,,0.9476582195019035,0.9990735922946381,0
1798,ZNF658,0.06329525,,0.9495313987313097,0.9990735922946381,0
1799,SLC39A3,0.062287007,,0.9503342758242812,0.9990735922946381,0
1800,WDR60,0.061166737,,0.9512264205854463,0.9990735922946381,0
1801,AC009113.1,0.06071863,,0.9515832956701112,0.9990735922946381,0
1802,RIPOR3,0.06027052,2.4654527,0.9519401804649442,0.9990735922946381,0
1803,PGAP3,0.060046468,,0.9521186264813613,0.9990735922946381,0
1804,Metazoa_SRP-60,0.059710387,,0.9523863000046343,0.9990735922946381,0
1805,LIN37,0.059374306,5.519959,0.9526539788995061,0.9990735922946381,0
1806,HIST1H2AC,0.05758187,,0.9540816891486382,0.9990735922946381,0
1807,BOC,0.056685656,,0.9547955998203893,0.9990735922946381,0
1808,TOMM34,0.05511728,,0.956045030425398,0.9990735922946381,0
1809,CYP2C9,0.053884983,,0.9570268018275637,0.9990735922946381,0
1810,CRACR2B,0.053100795,1.7055238,0.9576515994849459,0.9990735922946381,0
1811,AKR1D1,0.05164444,,0.9588120067278113,0.9990735922946381,0
1812,PIGG,0.051532414,,0.9589012724698617,0.9990735922946381,0
1813,TDGF1P3,0.05130836,,0.9590798054988487,0.9990735922946381,0
1814,HYLS1,0.049739983,,0.9603295936683351,0.9990735922946381,0
1815,AC093484.2,0.04805958,,0.9616687605367182,0.9990735922946381,0
1816,KIF19,0.047947552,,0.9617580422151848,0.9990735922946381,0
1817,CYP3A43,0.047387417,-0.5244355,0.9622044577787184,0.9990735922946381,0
1818,XAF1,0.04727539,,0.9622937423178397,0.9990735922946381,0
1819,CDH15,0.046379175,,0.9630080355599554,0.9990735922946381,0
1820,LINC00115,0.045931067,,0.963365193350827,0.9990735922946381,0
1821,AL392023.2,0.045146875,,0.9639902371304424,0.9990735922946381,0
1822,TRPM1,0.044698767,,0.9643474149646902,0.9990735922946381,0
1823,EME2,0.044362687,,0.964615303039299,0.9990735922946381,0
1824,MIR616,0.044138633,-2.1360464,0.964793897309844,0.9990735922946381,0
1825,AC007738.1,0.044026606,-2.803447,0.9648831951080028,0.9990735922946381,0
1826,NUDT13,0.04391458,,0.9649724933465944,0.9990735922946381,0
1827,ACKR4,0.04391458,-0.46534824,0.9649724933465944,0.9990735922946381,0
1828,AP002505.1,0.04346647,-0.18595675,0.9653296906829186,0.9990735922946381,0
1829,AP002954.2,0.043354444,0.10159121,0.9654189911068962,0.9990735922946381,0
1830,AP000350.6,0.043354444,-0.07453942,0.9654189911068962,0.9990735922946381,0
1831,WFIKKN1,0.043354444,-0.57664853,0.9654189911068962,0.9990735922946381,0
1832,AL669831.3,0.043242417,0.39972776,0.9655082919645953,0.9990735922946381,0
1833,CHMP6,0.043242417,,0.9655082919645953,0.9990735922946381,0
1834,CCDC134,0.043242417,0.5388072,0.9655082919645953,0.9990735922946381,0
1835,AC006453.2,0.04313039,0.3571221,0.9655975932548971,0.9990735922946381,0
1836,AL359915.1,0.042906336,0.018436745,0.9657761971288346,0.9990735922946381,0
1837,LAMP5,0.042906336,1.2984916,0.9657761971288346,0.9990735922946381,0
1838,FFAR1,0.042682283,0.858555,0.9659548027197592,0.9990735922946381,0
1839,LINC02057,0.042682283,0.8320635,0.9659548027197592,0.9990735922946381,0
1840,AGBL5-IT1,0.04245823,1.555809,0.9661334100187214,0.9990735922946381,0
1841,AC023510.2,0.04245823,1.2220936,0.9661334100187214,0.9990735922946381,0
1842,AC012081.2,0.04245823,-0.24145332,0.9661334100187214,0.9990735922946381,0
1843,PABPC1L,0.0423462,,0.9662227143059199,0.9990735922946381,0
1844,AP004782.1,0.04201012,1.4461828,0.966490629704959,0.9990735922946381,0
1845,PINK1,0.04167404,,0.9667585488866695,0.9990735922946381,0
1846,RAB6B,0.040777825,,0.9674730183012179,0.9990735922946381,0
1847,UBFD1,0.040777825,,0.9674730183012179,0.9990735922946381,0
1848,ZNF649,0.03876134,,0.9690806690804779,0.9990735922946381,0
1849,ANAPC7,0.038313232,,0.9694379421041767,0.9990735922946381,0
1850,ADAMTS17,0.038089175,,0.9696165809207089,0.9990735922946381,0
1851,AC104596.1,0.037641067,-2.020211,0.969973863118366,0.9990735922946381,0
1852,NSD2,0.037417013,,0.9701525064815809,0.9990735922946381,0
1853,INHBE,0.037080932,-0.5567047,0.9704204743316994,0.9990735922946381,0
1854,VMO1,0.03674485,0.5238393,0.9706884455213067,0.9990735922946381,0
1855,PI4KAP2,0.03674485,,0.9706884455213067,0.9990735922946381,0
1856,PEX6,0.036632825,,0.9707777699880602,0.9990735922946381,0
1857,AC069547.2,0.036520798,1.4649823,0.9708670948213899,0.9990735922946381,0
1858,AC005911.1,0.036520798,0.8958771,0.9708670948213899,0.9990735922946381,0
1859,LINC01607,0.035624582,2.0651836,0.971581706550429,0.9990735922946381,0
1860,PNMA2,0.034392286,,0.9725643348150986,0.9990735922946381,0
1861,NOX4,0.03428026,,0.9726536667448352,0.9990735922946381,0
1862,MIR133A1HG,0.03428026,,0.9726536667448352,0.9990735922946381,0
1863,EFCAB11,0.033384044,,0.9733683344389427,0.9990735922946381,0
1864,CHST2,0.03203972,,0.974440375893444,0.9990735922946381,0
1865,CFLAR-AS1,0.030807422,,0.9754231211713695,0.9990735922946381,0
1866,ERMP1,0.030471342,,0.9756911491487436,0.9990735922946381,0
1867,HRG,0.030471342,,0.9756911491487436,0.9990735922946381,0
1868,SMIM1,0.029911207,1.8311245,0.9761378685290862,0.9990735922946381,0
1869,PTPRD-AS2,0.029239044,3.0221043,0.976673941652765,0.9990735922946381,0
1870,AL158206.1,0.029239044,,0.976673941652765,0.9990735922946381,0
1871,AC122688.3,0.028566882,,0.9772100253121917,0.9990735922946381,0
1872,USF3,0.028118774,,0.9775674201521635,0.9990735922946381,0
1873,SESN3,0.02789472,,0.9777461192653654,0.9990735922946381,0
1874,CASC15,0.027782694,,0.9778354692413488,0.9990735922946381,0
1875,VPS37B,0.027782694,,0.9778354692413488,0.9990735922946381,0
1876,PPP1R3G,0.026998505,,0.9784609267971259,0.9990735922946381,0
1877,SEPTIN7-AS1,0.026774451,,0.9786396314049837,0.9990735922946381,0
1878,DHX37,0.026326343,,0.9789970438278491,0.9990735922946381,0
1879,G2E3-AS1,0.026326343,,0.9789970438278491,0.9990735922946381,0
1880,BMS1,0.025878234,,0.9793544604671495,0.9990735922946381,0
1881,GTF3C2-AS1,0.024869991,,0.9801586629504203,0.9990735922946381,0
1882,AC211433.1,0.02307756,,0.9815884055226441,0.9990735922946381,0
1883,MAP1B,0.02195729,0.26664492,0.9824820249549909,0.9990735922946381,0
1884,CCDC198,0.021285128,,0.9830182072373099,0.9990735922946381,0
1885,RHD,0.021061074,,0.9831969363814278,0.9990735922946381,0
1886,AL080276.2,0.020612966,,0.9835543971908718,0.9990735922946381,0
1887,AC137932.2,0.01971675,-5.199475,0.9842693286434748,0.9990735922946381,0
1888,CYP2C19,0.018820534,,0.9849842727293601,0.9990735922946381,0
1889,GNG8,0.01859648,0.3037924,0.985163010657513,0.9990735922946381,0
1890,TFPT,0.018260399,,0.9854311189433153,0.9990735922946381,0
1891,AC087623.2,0.018148372,,0.9855204887390506,0.9990735922946381,0
1892,AC023202.1,0.017924318,1.006543,0.9856992288744958,0.9990735922946381,0
1893,AC073342.1,0.017252157,,0.9862354535518982,0.9990735922946381,0
1894,SLC4A8,0.016243914,,0.9870398021514909,0.9990735922946381,0
1895,KRBOX4,0.014787562,,0.9882016620608174,0.9990735922946381,0
1896,AP003071.5,0.01377932,,0.9890060414192792,0.9990735922946381,0
1897,RLN3,0.013555266,,0.9891847939342356,0.9990735922946381,0
1898,DAAM1,0.013331212,,0.9893635469920843,0.9990735922946381,0
1899,LINC01501,0.012883103,-0.5438112,0.9897210547005703,0.9990735922946381,0
1900,AC090398.2,0.0127710765,,0.9898104319529808,0.9990735922946381,0
1901,AC017035.1,0.012547023,0.01686805,0.9899891868402981,0.9990735922946381,0
1902,AC024592.3,0.012210942,1.4937779,0.9902573201106921,0.9990735922946381,0
1903,AP002762.2,0.011874861,,0.9905254544814712,0.9990735922946381,0
1904,PRAMEF18,0.011874861,1.0612936,0.9905254544814712,0.9990735922946381,0
1905,Metazoa_SRP-128,0.011874861,,0.9905254544814712,0.9990735922946381,0
1906,AL356273.2,0.011762834,1.6254694,0.9906148328443604,0.9990735922946381,0
1907,NPIPB2,0.010530537,3.2195377,0.9915980023628025,0.9990735922946381,0
1908,Z95115.1,0.010530537,3.740919,0.9915980023628025,0.9990735922946381,0
1909,DNAJC9-AS1,0.010194456,,0.9918661417812772,0.9990735922946381,0
1910,AL732314.6,0.010082429,,0.9919555217930844,0.9990735922946381,0
1911,LINC00539,0.008962159,,0.9928493272786232,0.9990735922946381,0
1912,TNFSF4,0.0082899975,,0.9933856149491964,0.9990735922946381,0
1913,SLC44A4,0.0068336464,,0.9945475814971454,0.9990735922946381,0
1914,HES4,0.0067216195,,0.994636964049692,0.9990735922946381,0
1915,AC087501.1,0.0056013493,0.7834069,0.9955307930918693,0.9990735922946381,0
1916,AL355472.3,0.0054893224,2.8460102,0.9956201763230804,0.9990735922946381,0
1917,LINC01023,0.0053772954,,0.995709559609258,0.9990735922946381,0
1918,RAB27B,0.0042570257,,0.9966033952474054,0.9990735922946381,0
1919,AL031600.2,0.0042570257,3.040043,0.9966033952474054,0.9990735922946381,0
1920,AL133330.1,0.0042570257,,0.9966033952474054,0.9990735922946381,0
1921,AL022326.1,0.0041449987,6.393139,0.9966927790641791,0.9990735922946381,0
1922,FAM89A,0.004032972,,0.9967821629224582,0.9990735922946381,0
1923,AL139089.1,0.0038089177,,0.9969609307590462,0.9990735922946381,0
1924,AC067931.1,0.0038089177,,0.9969609307590462,0.9990735922946381,0
1925,CLN8,0.0036968905,,0.9970503147351115,0.9990735922946381,0
1926,RN7SL48P,0.0033608098,,0.9973184668809314,0.9990735922946381,0
1927,AC098818.2,0.0031367557,,0.9974972351482805,0.9990735922946381,0
1928,AP000648.4,0.0029127018,,0.9976760035412684,0.9990735922946381,0
1929,AUXG01000058.1,0.0026886477,,0.9978547720509211,0.9990735922946381,0
1930,ZNF300,0.0026886477,,0.9978547720509211,0.9990735922946381,0
1931,OXTR,0.0024645939,,0.9980335406682643,0.9990735922946381,0
1932,CNST,0.0,,1.0,1.0,0
1933,AP005482.3,-0.00022405398,,0.9998212307903575,1.0,0
1934,AC104506.1,-0.00033608096,,0.9997318461883405,1.0,0
1935,CD59,-0.0006721619,,0.9994636924069693,1.0,0
1936,AFAP1,-0.002016486,,0.9983910781901258,0.9992232441231871,0
1937,ZNF614,-0.0029127018,,0.9976760035412684,0.9990735922946381,0
1938,SKIV2L,-0.0030247287,,0.9975866193296304,0.9990735922946381,0
1939,AC008267.8,-0.0031367557,,0.9974972351482805,0.9990735922946381,0
1940,MIR181A2HG,-0.0032487826,,0.9974078509983403,0.9990735922946381,0
1941,AL356108.1,-0.0035848636,,0.9971396987481953,0.9990735922946381,0
1942,HNRNPA1P76,-0.003920945,,0.9968715468211212,0.9990735922946381,0
1943,IRS1,-0.0049291877,,0.9960670932811978,0.9990735922946381,0
1944,EDC3,-0.0054893224,,0.9956201763230804,0.9990735922946381,0
1945,LZTS2,-0.0054893224,,0.9956201763230804,0.9990735922946381,0
1946,MAZ,-0.0056013493,,0.9955307930918693,0.9990735922946381,0
1947,BAMBI,-0.0060494575,-0.34091064,0.9951732607391239,0.9990735922946381,0
1948,AL354733.2,-0.006497565,,0.9948157293555795,0.9990735922946381,0
1949,AC008626.1,-0.006497565,,0.9948157293555795,0.9990735922946381,0
1950,LCMT1-AS1,-0.009410267,,0.9924918039447296,0.9990735922946381,0
1951,ZNF628,-0.009634322,,0.9923130428386489,0.9990735922946381,0
1952,LINC01252,-0.009634322,,0.9923130428386489,0.9990735922946381,0
1953,USP27X,-0.009634322,,0.9923130428386489,0.9990735922946381,0
1954,AL008638.5,-0.010978645,,0.9912404846195855,0.9990735922946381,0
1955,AL356259.1,-0.012547023,,0.9899891868402981,0.9990735922946381,0
1956,IFT74,-0.012547023,,0.9899891868402981,0.9990735922946381,0
1957,AC239804.1,-0.012547023,0.47245225,0.9899891868402981,0.9990735922946381,0
1958,RNVU1-3,-0.0127710765,1.18131,0.9898104319529808,0.9990735922946381,0
1959,AP002991.1,-0.012883103,1.0906868,0.9897210547005703,0.9990735922946381,0
1960,TEDDM1,-0.013443239,1.051948,0.9892741703958592,0.9990735922946381,0
1961,SEC14L3,-0.013443239,1.4111173,0.9892741703958592,0.9990735922946381,0
1962,LINC02656,-0.013891347,2.7074058,0.9889166653681892,0.9990735922946381,0
1963,CLDND2,-0.0143394545,,0.9885591625659178,0.9990735922946381,0
1964,AC013460.1,-0.015459725,,0.9876654157673617,0.9990735922946381,0
